Adilabad,Nizamabad,Warangal,Karimnagar,Khammam
58.94493,56.85627,85.41618,114.51013,86.46111
58.77697,55.69676,83.32321,114.35479,84.91802
58.98317,55.37383,79.68451,109.93604,82.580635
59.237686,53.775757,76.93233,108.75396,83.27094
59.259064,53.72321,76.28971,107.60018,84.09184
59.70023,52.761093,74.3059,106.88947,84.584496
59.37135,53.200176,71.952095,107.781586,84.96963
59.783806,52.80707,73.04703,110.33682,85.54387
59.72093,52.99381,76.088264,113.35902,86.11489
59.9746,53.06687,80.750496,117.1535,86.93649
59.823025,52.62301,84.206,121.11225,87.506035
59.99364,52.476517,84.917816,123.92712,87.87343
